ellapsed_exp_time,frame_id,start_frame_time,ellapsed_element_time,routine_name,element_iteration,condition_name,camera_rig_pos,camera_rig_rot,framerate
2823.53,196,2813.306,2820.257,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,77.16837
2834.945,197,2824.236,2831.674,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,77.84879
2857.257,198,2835.744,2853.986,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,77.81107
2868.262,199,2858.182,2864.99,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,76.9542
2879.013,200,2868.981,2875.741,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,77.17701
2889.86,201,2879.606,2886.587,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,77.88918
2912.731,202,2890.4,2909.461,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,77.81326
2923.343,203,2913.322,2920.071,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,77.15209
2934.887,204,2923.892,2931.616,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,77.86341
2945.626,205,2935.478,2942.354,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,77.77219
2968.583,206,2946.077,2965.313,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,77.89639
2979.044,207,2969.151,2975.773,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,77.86003
2989.932,208,2979.513,2986.658,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,77.96227
3012.799,209,2990.454,3009.528,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.00461
3023.375,210,3013.355,3020.102,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,77.3082
3034.695,211,3023.851,3031.423,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.02935
3045.497,212,3035.112,3042.224,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,77.93964
3069.143,213,3045.909,3065.874,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.05157
3078.949,214,3069.767,3075.675,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,77.79341
3089.946,215,3079.244,3086.673,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.14189
3112.825,216,3090.324,3109.555,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.07909
3123.868,217,3113.381,3120.595,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,77.36879
3134.963,218,3124.28,3131.69,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.04415
